Session,GlobalIndex,LocalIndex,TargetChar,AngleX,AngleY,UserInput,IsCorrect,FontSize,SpawnZone,,,,,,
1,1,1,D,-47.3,25.7,NotVisible,FALSE,201,Top-Left,,,,,total,4869
1,2,2,T,2.11,18.17,T,TRUE,122.9,Top-Center,,,,,ligible,2247
1,3,3,L,45.19,42.13,NotVisible,FALSE,10.6,Top-Right,,,,,illigible,2622
1,4,4,P,-33.54,0.72,NotVisible,FALSE,6.5,Middle-Left,,,,,,
1,5,5,O,18.72,4.42,O,TRUE,17.3,Middle-Center,,,,,,4869
1,6,6,Z,46.41,-24.57,Z,TRUE,122.9,Middle-Right,,,,,,
1,7,7,C,-36.77,-46.74,NotVisible,FALSE,122.9,Bottom-Left,,,,,,
1,8,8,F,10.83,-46.37,NotVisible,FALSE,28.3,Bottom-Center,,,,,,
1,9,9,E,33.15,-45.88,E,TRUE,201,Bottom-Right,,,,,,
2,10,1,L,-38.73,19.1,L,TRUE,201,Top-Left,,,,,,
2,11,2,C,-6.97,21.27,C,TRUE,28.3,Top-Center,,,,,,
2,12,3,F,44.15,29.73,NotVisible,FALSE,28.3,Top-Right,,,,,,
2,13,4,Z,-31.34,-11.99,NotVisible,FALSE,6.5,Middle-Left,,,,,,
2,14,5,D,-5.76,-3.01,D,TRUE,10.6,Middle-Center,,,,,,
2,15,6,T,38.54,-16.15,T,TRUE,201,Middle-Right,,,,,,
2,16,7,P,-46.18,-50.11,NotVisible,FALSE,6.5,Bottom-Left,,,,,,
2,17,8,O,-16.9,-39.26,NotVisible,FALSE,6.5,Bottom-Center,,,,,,
2,18,9,E,40.56,-50.14,NotVisible,FALSE,17.3,Bottom-Right,,,,,,
3,19,1,L,-37.73,16.62,L,TRUE,75.3,Top-Left,,,,,,
3,20,2,P,2.22,21.77,P,TRUE,122.9,Top-Center,,,,,,
3,21,3,C,31.69,16.34,NotVisible,FALSE,17.3,Top-Right,,,,,,
3,22,4,Z,-43.81,3.52,NotVisible,FALSE,28.3,Middle-Left,,,,,,
3,23,5,F,23.48,-18.16,F,TRUE,10.6,Middle-Center,,,,,,
3,24,6,D,44.58,-22.88,D,TRUE,75.3,Middle-Right,,,,,,
3,25,7,O,-47.46,-52.05,NotVisible,FALSE,28.3,Bottom-Left,,,,,,
3,26,8,T,-2.71,-31.22,T,TRUE,28.3,Bottom-Center,,,,,,
3,27,9,E,32,-43.42,E,TRUE,75.3,Bottom-Right,,,,,,
4,28,1,L,-53.21,34.14,NotVisible,FALSE,10.6,Top-Left,,,,,,
4,29,2,C,4.7,42.55,NotVisible,FALSE,46.1,Top-Center,,,,,,
4,30,3,O,43.23,39.23,NotVisible,FALSE,10.6,Top-Right,,,,,,
4,31,4,E,-52.57,-13.93,NotVisible,FALSE,201,Middle-Left,,,,,,
4,32,5,T,0.58,3.8,T,TRUE,122.9,Middle-Center,,,,,,
4,33,6,P,48.54,-16.9,NotVisible,FALSE,28.3,Middle-Right,,,,,,
4,34,7,Z,-34.3,-44.52,Z,TRUE,201,Bottom-Left,,,,,,
4,35,8,F,0.84,-49.51,NotVisible,FALSE,10.6,Bottom-Center,,,,,,
4,36,9,D,36.5,-49.33,NotVisible,FALSE,17.3,Bottom-Right,,,,,,
5,37,1,Z,-41.51,32.06,NotVisible,FALSE,17.3,Top-Left,,,,,,
5,38,2,C,-8.79,26.08,C,TRUE,122.9,Top-Center,,,,,,
5,39,3,T,42.61,41.33,NotVisible,FALSE,46.1,Top-Right,,,,,,
5,40,4,E,-47.79,-13.48,NotVisible,FALSE,6.5,Middle-Left,,,,,,
5,41,5,L,-22.24,-28.63,NotVisible,FALSE,6.5,Middle-Center,,,,,,
5,42,6,F,52.35,-15.51,F,TRUE,75.3,Middle-Right,,,,,,
5,43,7,D,-34.09,-34.33,NotVisible,FALSE,6.5,Bottom-Left,,,,,,
5,44,8,P,-5.51,-42.98,NotVisible,FALSE,122.9,Bottom-Center,,,,,,
5,45,9,O,53.31,-48.55,NotVisible,FALSE,17.3,Bottom-Right,,,,,,
6,46,1,F,-39.79,19.49,F,TRUE,75.3,Top-Left,,,,,,
6,47,2,E,-17.9,28.2,NotVisible,FALSE,10.6,Top-Center,,,,,,
6,48,3,L,39.09,26.48,NotVisible,FALSE,75.3,Top-Right,,,,,,
6,49,4,T,-47.53,0.05,T,TRUE,122.9,Middle-Left,,,,,,
6,50,5,P,5.5,-27.1,NotVisible,FALSE,10.6,Middle-Center,,,,,,
6,51,6,O,45.16,6.98,NotVisible,FALSE,17.3,Middle-Right,,,,,,
6,52,7,D,-51.04,-47.16,NotVisible,FALSE,122.9,Bottom-Left,,,,,,
6,53,8,C,-1.01,-46.13,NotVisible,FALSE,28.3,Bottom-Center,,,,,,
6,54,9,Z,50.56,-36.85,NotVisible,FALSE,6.5,Bottom-Right,,,,,,
7,55,1,F,-48.07,28.61,NotVisible,FALSE,10.6,Top-Left,,,,,,
7,56,2,L,-3.98,22.49,NotVisible,FALSE,10.6,Top-Center,,,,,,
7,57,3,D,51.8,28.38,NotVisible,FALSE,201,Top-Right,,,,,,
7,58,4,P,-34.17,-18.89,P,TRUE,201,Middle-Left,,,,,,
7,59,5,O,9.15,1.75,O,TRUE,122.9,Middle-Center,,,,,,
7,60,6,Z,42.37,-19.76,Z,TRUE,122.9,Middle-Right,,,,,,
7,61,7,C,-46.86,-37.74,NotVisible,FALSE,17.3,Bottom-Left,,,,,,
7,62,8,E,4.03,-46.56,NotVisible,FALSE,6.5,Bottom-Center,,,,,,
7,63,9,T,29.24,-48.07,NotVisible,FALSE,46.1,Bottom-Right,,,,,,
8,64,1,C,-35.77,40.89,NotVisible,FALSE,46.1,Top-Left,,,,,,
8,65,2,F,15.09,28.66,NotVisible,FALSE,6.5,Top-Center,,,,,,
8,66,3,T,50.4,32.41,NotVisible,FALSE,201,Top-Right,,,,,,
8,67,4,L,-37.13,-18.47,L,TRUE,201,Middle-Left,,,,,,
8,68,5,D,-14.41,-18.72,D,TRUE,10.6,Middle-Center,,,,,,
8,69,6,O,38.16,8.44,NotVisible,FALSE,17.3,Middle-Right,,,,,,
8,70,7,P,-32.84,-35.76,NotVisible,FALSE,10.6,Bottom-Left,,,,,,
8,71,8,Z,-11.03,-37.49,Z,TRUE,75.3,Bottom-Center,,,,,,
8,72,9,E,53.44,-49.66,NotVisible,FALSE,122.9,Bottom-Right,,,,,,
9,73,1,F,-38.88,40.61,NotVisible,FALSE,46.1,Top-Left,,,,,,
